record_type,record_id,category,subdomain,priority,english,plain_language_use,nauruan,source_id,source_title,pdf_page,dictionary_page,source_url,status,clinical_safety_flag,evidence_note,notes,english_norm,nauruan_norm
term,HV-001,Emergency/core,Emergency communication,Emergency,help,Immediate assistance request,badk,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,23,18,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,OCR source candidate; verify initial character,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,help,badk
term,HV-002,Emergency/core,Emergency communication,Emergency,danger,Danger / unsafe situation,egatirae,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,14,9,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,danger,egatirae
term,HV-003,Emergency/core,Emergency communication,Emergency,sick,General illness,arak,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,39,34,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,sick,arak
term,HV-004,Emergency/core,Emergency communication,High,pain,Pain complaint,"aror, karone",SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,32,27,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,Image-read from SRC-002 p.32; verify,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,pain,aror karone
term,HV-005,Emergency/core,Emergency communication,High,hospital,Hospital / health facility,ewak in arak,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,24,19,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,Sample OCR / page image,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,hospital,ewak in arak
term,HV-006,Emergency/core,Emergency communication,High,doctor,Doctor / clinician,amen kégémwe,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,16,11,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,doctor,amen kegemwe
term,HV-007,Emergency/core,Emergency communication,High,physician,Physician / clinician,amen kégénwe,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,33,28,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,Sample OCR / page image,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,physician,amen kegenwe
term,HV-008,Emergency/core,Emergency communication,High,patient,Patient,amen arak,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,33,28,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,Sample OCR / page image,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,patient,amen arak
term,HV-009,Emergency/core,Emergency communication,High,medicine,Medicine / medication,ekégémwe,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,28,23,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,medicine,ekegemwe
term,HV-010,Emergency/core,Emergency communication,High,dispensary,Medication or clinic area,ewak in kégémwe,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,16,11,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,dispensary,ewak in kegemwe
term,HV-011,Emergency/core,Consent/basic questions,High,name,Patient identity,eg,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,30,25,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,Image/OCR candidate; phrase page also has EGEN,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,name,eg
term,HV-012,Emergency/core,Consent/basic questions,High,what,Question starter,ekeken,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,45,40,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,what,ekeken
term,HV-013,Emergency/core,Consent/basic questions,High,who,Identity question,ijegen,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,45,40,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,OCR source candidate; row OCR label degraded,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,who,ijegen
term,HV-014,Emergency/core,Consent/basic questions,High,where,Location question,"i, iha",SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,45,40,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,OCR source candidate; row OCR label degraded,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,where,i iha
term,HV-015,Emergency/core,Consent/basic questions,High,when,Time question,"ijet, tsin ia",SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,45,40,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Routine,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,when,ijet tsin ia
term,HV-016,Emergency/core,Consent/basic questions,High,understand,Comprehension check,tsiet,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,43,38,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,understand,tsiet
term,HV-017,Emergency/core,Consent/basic questions,Medium,translate,Translation/interpreter request,gait,SRC-002,English–Nauru Dictionary / NLA1-SPCmf35,43,38,https://catalog.paradisec.org.au/repository/NLA1/SPCmf35,ASSUMED_VALIDATED_FOR_PROTOTYPE_TESTING,Safety critical,OCR source candidate,Assumed validated only for MVP lookup testing; replace with reviewer evidence before operational use.,translate,gait
